Concurso;Data;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Arrecadacao_Total;ganhadores_15_numeros;Cidade;UF;ganhadores_14_numeros;ganhadores_13_numeros;ganhadores_12_numeros;ganhadores_11_numeros;valor_rateio_15_numeros;valor_rateio_14_numeros;valor_rateio_13_numeros;valor_rateio_12_numeros;valor_rateio_11_numeros;Acumulado_15_numeros;Estimativa_premio;Valor_acumulado_especial
1;29/09/2003;18;20;25;23;10;11;24;14;06;02;13;09;05;16;03;0,00;5;;BA;154;4645;48807;257593;49.765,82;689,84;10,00;4,00;2,00;0,00;0,00;0,00
2;06/10/2003;23;15;05;04;12;16;20;06;11;19;24;01;09;13;07;0,00;1;;SP;184;6232;81252;478188;596.323,70;1.388,95;10,00;4,00;2,00;0,00;0,00;0,00
3;13/10/2003;20;23;12;08;06;01;07;11;14;04;16;10;09;17;24;0,00;2;;SP;158;6897;96244;608211;400.623,70;2.173,36;10,00;4,00;2,00;0,00;0,00;0,00
4;20/10/2003;16;05;25;24;23;08;12;02;17;18;01;10;04;19;13;0,00;1;;MT;258;9569;123912;706657;902.226,02;1.498,72;10,00;4,00;2,00;0,00;0,00;0,00
5;27/10/2003;15;13;20;02;11;24;09;16;04;23;25;12;08;19;01;0,00;2;;BA;472;14736;195636;860992;380.017,55;687,49;10,00;4,00;2,00;0,00;0,00;0,00
6;03/11/2003;23;19;01;05;07;21;16;10;15;25;06;02;12;04;17;0,00;2;;RJ;393;14242;162320;888301;489.140,06;1.066,83;10,00;4,00;2,00;0,00;0,00;0,00
7;10/11/2003;22;04;15;08;16;14;21;23;12;01;25;19;07;10;18;0,00;9;;BA;1333;25878;206828;967358;104.625,29;301,59;10,00;4,00;2,00;0,00;0,00;0,00
8;17/11/2003;19;16;18;09;13;08;05;25;17;10;06;15;01;22;20;0,00;1;;BA;256;11414;149037;926910;1.201.958,08;2.012,21;10,00;4,00;2,00;0,00;0,00;0,00
9;24/11/2003;21;04;17;05;03;13;16;09;20;24;25;19;11;15;10;0,00;3;;PR;407;14973;213511;1104328;336.053,65;1.061,60;10,00;4,00;2,00;0,00;0,00;0,00
10;01/12/2003;24;19;08;23;06;02;20;11;09;03;04;10;05;12;14;0,00;0; ; ;380;15767;207355;1186563;0,00;1.157,08;10,00;4,00;2,00;1.025.945,00;0,00;0,00
11;08/12/2003;24;09;08;19;20;22;06;10;11;16;07;25;23;02;12;0,00;0; ; ;306;14249;216679;1343171;0,00;1.855,82;10,00;4,00;2,00;2.351.000,93;0,00;0,00
12;15/12/2003;11;05;25;01;09;08;16;04;07;24;17;02;12;14;10;0,00;1;;GO;631;24400;322557;1607584;3.490.966,18;771,32;10,00;4,00;2,00;0,00;0,00;0,00
13;22/12/2003;13;06;10;05;08;14;03;11;16;15;09;17;19;07;23;0,00;3;;PR;714;27399;320961;1501354;269.157,25;482,84;10,00;4,00;2,00;0,00;0,00;0,00
14;29/12/2003;14;21;13;19;20;06;09;05;07;23;18;01;15;02;25;0,00;3;;RS;444;15413;214582;1149506;411.362,89;1.191,21;10,00;4,00;2,00;0,00;0,00;0,00
15;05/01/2004;23;06;21;04;10;24;16;01;15;02;08;19;12;18;25;0,00;22;;DF;2059;38038;379994;1198158;27.525,68;125,58;10,00;4,00;2,00;0,00;0,00;0,00
16;12/01/2004;24;17;05;08;07;12;13;02;15;10;19;25;23;21;06;0,00;9;;AL;1086;29005;329409;1471908;83.935,77;296,98;10,00;4,00;2,00;0,00;0,00;0,00
17;19/01/2004;13;20;17;01;06;07;02;14;05;09;16;19;03;21;18;0,00;1;;SP;320;14425;232740;1083387;1.427.169,94;1.911,39;10,00;4,00;2,00;0,00;0,00;0,00
18;26/01/2004;02;23;10;07;11;14;17;22;15;06;24;08;19;20;18;0,00;3;;MT;309;12373;174339;1079894;487.887,61;2.030,05;10,00;4,00;2,00;0,00;0,00;0,00
19;02/02/2004;15;17;10;23;11;24;13;14;06;02;08;05;20;16;07;0,00;10;;GO;818;23594;326913;1333412;82.040,05;428,20;10,00;4,00;2,00;0,00;0,00;0,00
20;09/02/2004;04;09;08;24;16;20;03;17;18;19;07;06;23;14;10;0,00;9;;BA;931;19580;266087;1462294;122.882,04;507,17;10,00;4,00;2,00;0,00;0,00;0,00
21;16/02/2004;05;02;01;22;19;08;24;04;25;23;18;20;14;11;16;0,00;3;;BA;316;13077;203475;1211951;530.990,23;2.160,45;10,00;4,00;2,00;0,00;0,00;0,00
